,GDP_USD_billions,Country
0,26854.6,United States
1,19373.59,China
2,4409.74,Japan
3,4308.85,Germany
4,3736.88,India
5,3158.94,United Kingdom
6,2923.49,France
7,2169.74,Italy
8,2089.67,Canada
9,2081.24,Brazil
10,2062.65,Russia
11,1721.91,South Korea
12,1707.55,Australia
13,1663.16,Mexico
14,1492.43,Spain
15,1391.78,Indonesia
16,1080.88,Netherlands
17,1061.9,Saudi Arabia
18,1029.3,Turkey
19,869.6,Switzerland
20,790.73,Taiwan
21,748.89,Poland
22,641.1,Argentina
23,624.25,Belgium
24,599.05,Sweden
25,594.1,Ireland
26,574.23,Thailand
27,554.1,Norway
28,539.22,Israel
29,515.55,Singapore
30,515.2,Austria
31,506.6,Nigeria
32,498.98,United Arab Emirates
33,449.09,Vietnam
34,447.03,Malaysia
35,440.9,Philippines
36,420.52,Bangladesh
37,405.63,Denmark
38,399.02,South Africa
39,382.85,Hong Kong
40,378.11,Egypt
41,367.97,Iran
42,358.56,Chile
43,348.9,Romania
44,334.69,Colombia
45,330.48,Czech Republic
46,301.67,Finland
47,268.24,Peru
48,267.89,Iraq
49,267.72,Portugal
50,251.97,New Zealand
51,245.7,Kazakhstan
52,239.3,Greece
53,219.57,Qatar
54,206.01,Algeria
55,188.5,Hungary
56,164.71,Kuwait
57,156.08,Ethiopia
58,148.71,Ukraine
59,138.78,Morocco
60,127.53,Slovakia
61,121.29,Ecuador
62,121.29,Dominican Republic
63,120.84,Puerto Rico
64,118.13,Kenya
65,117.88,Angola
66,104.9,Oman
67,102.31,Guatemala
68,100.64,Bulgaria
69,96.63,Venezuela
70,92.33,Uzbekistan
71,86.97,Luxembourg
72,85.42,Tanzania
73,82.65,Turkmenistan
74,78.88,Croatia
75,78.35,Lithuania
76,77.78,Costa Rica
77,77.31,Uruguay
78,77.26,Panama
79,77.05,Ivory Coast
80,73.96,Serbia
81,73.54,Belarus
82,70.03,Azerbaijan
83,69.47,DR Congo
84,68.11,Slovenia
85,66.62,Ghana
86,63.99,Myanmar
87,52.06,Jordan
88,49.82,Tunisia
89,49.79,Uganda
90,48.62,Cameroon
91,47.4,Latvia
92,46.7,Sudan
93,46.3,Libya
94,46.1,Bolivia
95,44.87,Bahrain
96,42.82,Paraguay
97,42.1,Nepal
98,41.55,Estonia
99,35.84,Macau
100,33.75,El Salvador
101,32.86,Honduras
102,31.36,Papua New Guinea
103,31.22,Senegal
104,30.86,Cyprus
105,30.63,Cambodia
106,29.93,Zimbabwe
107,29.27,Zambia
108,28.62,Iceland
109,28.49,Bosnia and Herzegovina
110,28.22,Trinidad and Tobago
111,27.95,Georgia
112,26.58,Haiti
113,23.72,Armenia
114,23.33,Guinea
115,21.08,Burkina Faso
116,20.78,Mali
117,20.33,Gabon
118,20.18,Albania
119,19.91,Mozambique
120,19.21,Palestine
121,19.57,Botswana
122,19.53,Yemen
123,19.4,Malta
124,19.24,Benin
125,17.29,Nicaragua
126,17.25,Jamaica
127,16.91,Mongolia
128,16.62,Niger
129,16.31,Guyana
130,15.99,Brunei
131,15.97,Madagascar
132,15.83,Moldova
133,15.28,North Macedonia
134,15.1,Equatorial Guinea
135,14.57,Mauritius
136,14.11,Bahamas
137,14.09,Laos
138,13.49,Namibia
139,13.15,Rwanda
140,13.03,Congo
141,12.8,Tajikistan
142,12.31,Kyrgyzstan
143,11.96,Chad
144,11.28,Malawi
145,10.97,Mauritania
146,9.99,Kosovo
147,9.0,Togo
148,8.74,Somalia
149,7.03,Montenegro
150,7.01,South Sudan
151,7.0,Maldives
152,6.12,Barbados
153,5.38,Fiji
154,4.82,Eswatini
155,4.38,Liberia
156,3.92,Djibouti
157,3.67,Andorra
158,3.63,Aruba
159,3.52,Sierra Leone
160,3.47,Suriname
161,3.23,Burundi
162,3.16,Belize
163,2.74,Central African Republic
164,2.68,Bhutan
165,2.67,Eritrea
166,2.58,Lesotho
167,2.47,Cape Verde
168,2.28,Gambia
169,2.26,Saint Lucia
170,1.99,East Timor
171,1.95,Seychelles
172,1.89,Guinea-Bissau
173,1.86,Antigua and Barbuda
174,1.81,San Marino
175,1.7,Solomon Islands
176,1.35,Comoros
177,1.27,Grenada
178,1.06,Vanuatu
179,1.05,Saint Kitts and Nevis
180,1.04,Saint Vincent and the Grenadines
181,0.9,Samoa
182,0.68,Dominica
183,0.62,São Tomé and Príncipe
184,0.54,Tonga
185,0.46,Micronesia
186,0.29,Marshall Islands
187,0.26,Palau
188,0.25,Kiribati
189,0.15,Nauru
190,0.06,Tuvalu
